text,category,is_obfuscated
شفتك اليوم بالشارع وعم تتجاهليني، بس انا رح ضل لاحقك لتردي علي,harass,0
ليش عم تتجاهلي رسايلي؟ انا بعرف وين بتشتغلي ورح اجي لعندك,harass,0
ولك يا فاشل بطّل تحكي بهالموضوع وإلا رح افضحك قدام الكل,harass,0
بعرف عنوان بيتك وعم راقبك من زمان، أحسنلك ترديلي,harass,0
اذا ما طلعتي معي رح ابعت صورك لكل الناس يلي بتعرفيهم,harass,0
كل ما شوفك رح ذكرك إنك مو قدها وإنك فاشلة بكل شي,harass,0
رح اخليك تندمي إنك رفضتيني، انتظري وشوفي شو رح يصير,harass,0
ا.ن.ا ب.ع.ر.ف كل تفاصيل حياتك ورح افضحها اذا ما سمعت كلامي,harass,1
بطل ترد عمكالماتي بهالطريقة وإلا رح اجي لمحل شغلك واعملك فضيحة,harass,0
انت إنسان حقير ومالك قيمة، الكل بيكرهك بس عم يجاملوك,harass,0
رح ضل ابعتلك رسايل ليل نهار لحتى ترضخ وتعمل يلي بدي ياه,harass,0
شو هالغرور؟ انتي مو شي بتطلعي معي وإلا رح ندمك عكل يوم,harass,0
عندي صور وفيديوهات إلك ورح انشرها اذا ما حولتلي المبلغ,harass,0
كل يوم رح ذكرك إنك خربتي حياتي ورح خرب حياتك متل ما عملتي,harass,0
و.ل.ك يا تافه بطل تتمسخر علي وإلا منتهي أمرك معي,harass,1
لاحقتك لبيتك مبارح وعرفت كل عاداتك، ما رح تخلصي مني سهل,harass,0
اذا ما رديتي رح اتصل بأهلك واخبرهم كل شي عنك وافضحك,harass,0
انتي بنت رخيصة وكل الناس بيعرفوا حقيقتك، بس انا رح فضحك أكتر,harass,0
رح ابعت رسايل لكل أصحابك واخبرهم شو نوع إنسان انتي بالحقيقة,harass,0
ما تفكري تتجاهليني، انا موجود بكل مكان بتروحيلو وعم راقبك,harass,0
يا حيوان بطل تحط منشورات عني وإلا رح اخليك تندم طول عمرك,harass,0
عرفت رقم بيتك الجديد وعم اجي لعندك بكرا، استعدي لتشوفيني,harass,0
ا.ذ.ا م.ا سمعت كلامي رح انشر كل أسرارك قدام كل معارفك,harass,1
