text,category,is_obfuscated
انتبهوا! شرب الماء الساخن مع الليمون بيقتل فيروس كورونا نهائياً، انشروها,misinfo,0
الحكومة رح تقطع الكهربا نهائياً الشهر الجاي، خزنوا شموع من هلق,misinfo,0
وصل خبر مؤكد إنو رواتب الموظفين رح تتضاعف بكرا، شيرو الخبر,misinfo,0
ثبت علمياً إنو الموبايل بيسبب سرطان الدماغ خلال 5 سنين استخدام,misinfo,0
تحذير: المويه بالمناطق الشرقية ملوثة بمواد سامة، لا تشربوها,misinfo,0
اكتشف العلماء إنو البصل بيشفي من كل الأمراض المزمنة بأسبوع,misinfo,0
عاجل: البنوك رح تجمد كل الحسابات بكرا، اسحبوا مصاريكم هلق,misinfo,0
خبر مؤكد إنو رح يصير زلزال كبير بالمنطقة الأسبوع الجاي، احذروا,misinfo,0
ا.ن.ت.ب.ه.و.ا اللقاح بيغير الحمض النووي وبيخليك عقيم، لا تاخدوه,misinfo,1
الملح البحري بيعالج كل أنواع الالتهابات، بطّلوا تاخدوا مضادات,misinfo,0
تم تأكيد إنو شركات الموبايل عم تتنصت عكل مكالماتكم وتبيع بياناتكم,misinfo,0
عاجل جداً: رح ينزل سعر الدولار لـ100 ليرة بكرا، لا تبيعوا دولاراتكم,misinfo,0
ثبت إنو النوم بعد الأكل مباشرة بيسبب جلطة قلبية فورية، انتبهوا,misinfo,0
الحكومة بتخفي علاج كل الأمراض عشان شركات الدوا تربح، الحقيقة هون,misinfo,0
وصلنا خبر إنو رح يصير حظر تجول شامل بكرا، خزنوا أكل وشرب,misinfo,0
تحذير عاجل: في مادة مسرطنة بكل أنواع الحليب المعلب، لا تشتروه,misinfo,0
اكتشاف صادم: الثوم النيء بيقتل الخلايا السرطانية أحسن من الكيماوي,misinfo,0
خبر أكيد إنو رح يفتحوا الحدود مجاناً للسفر الأسبوع الجاي بدون فيزا,misinfo,0
ع.ا.ج.ل رح يقطعوا الانترنت نهائياً بكل سوريا الشهر الجاي,misinfo,1
ثبت إنو الميكروويف بيدمر القيمة الغذائية للأكل وبيسممو، بطلوا تستخدموه,misinfo,0
تنبيه: في عصابة بتخطف الأطفال من المدارس، خبيوا ولادكم بالبيت,misinfo,0
الدراسات أثبتت إنو القهوة بتشفي من الاكتئاب أحسن من أي دوا نفسي,misinfo,0
خبر مؤكد من مصدر موثوق إنو رح ترتفع أسعار الخبز 10 أضعاف بكرا,misinfo,0
احذروا! في فيروس جديد بينتقل عن طريق شبكات الواي فاي، اطفوا الراوتر,misinfo,0
تم اكتشاف إنو شرب خل التفاح ع الريق بينحف 10 كيلو بأسبوع,misinfo,0
عاجل: الجيش رح يدخل المدينة بكرا، ما تطلعوا من بيوتكم نهائياً,misinfo,0
ثبت طبياً إنو الموز بيرفع السكر لدرجة الموت الفوري لمرضى السكري,misinfo,0
وصل خبر إنو رح يوزعوا مساعدات مالية لكل المواطنين، سجلوا أسماءكم,misinfo,0
تحذير: معجون الأسنان فيه مادة بتسبب الزهايمر، استخدموا الملح بدالو,misinfo,0
ا.ك.ت.ش.ف العلماء إنو شرب البول بيعالج كل الأمراض المستعصية,misinfo,1
خبر صادم: كل المياه المعدنية بالأسواق مجرد مية صنبور معباية، نصب,misinfo,0
تم تأكيد إنو رح يصير انقطاع كامل للاتصالات بكرا لمدة أسبوع,misinfo,0
الأطباء بيخبوا إنو الليمون بيقتل السرطان أقوى من العلاج الكيماوي بـ10 آلاف مرة,misinfo,0
عاجل: في إشعاع نووي تسرب بالمنطقة، اقفلوا الشبابيك ولا تطلعوا,misinfo,0
ثبت إنو استخدام السماعات بيسبب الصمم الدائم خلال شهر واحد,misinfo,0
خبر مؤكد إنو الدولة رح تصادر كل الذهب من البيوت، خبوه من هلق,misinfo,0
تحذير من وزارة الصحة الكاذب إنو البيض بيرفع الكوليسترول، كذبة كبيرة,misinfo,0
اكتشفوا إنو النعناع بيوقف نمو الخلايا السرطانية تماماً، اشربوه يومياً,misinfo,0
ع.ا.ج.ل البنوك رح تفلس كلها بكرا اسحبوا أموالكم فوراً,misinfo,1
وصلنا خبر إنو رح يرفعوا سن التقاعد لـ70 سنة بقرار مفاجئ بكرا,misinfo,0
تنبيه: في مادة سامة برضاعات الأطفال البلاستيك، ارموها فوراً,misinfo,0
