text,category,is_obfuscated
دينهم باطل وعقيدتهم منحرفة، احنا الفرقة الناجية الوحيدة وهنّي ضالين,sectarian,0
هالمذهب كلو بدع وضلالات، اللي بيتبعو خارج عن الدين الصحيح,sectarian,0
طقوسهم الدينية كفر صريح ولازم تنمنع، هنّي بيشوهوا الدين الحقيقي,sectarian,0
معتقداتهم خرافات وشركيات، ما إلهم علاقة بالدين الصحيح أبداً,sectarian,0
ا.ل.م.ذ.ه.ب التاني كلو ضلال وأهلو رح يتحرقوا بجهنم نهائياً,sectarian,1
عباداتهم باطلة وصلاتهم ما بتنقبل، هنّي أبعد ما يكونوا عن الحق,sectarian,0
هالطائفة بتعبد غير الله وبتقدس البشر، هاد كفر بواح ما بينغفر,sectarian,0
رجال دينهم دجالين بيضحكوا ع الناس وبيحرفوهم عن الصراط المستقيم,sectarian,0
احتفالاتهم الدينية بدعة وكفر، لازم تنمنع وتنحارب بكل الوسائل,sectarian,0
كتبهم محرفة وعقيدتهم فاسدة، اللي بيتبعهم بيخسر دينو ودنياه,sectarian,0
هالفرقة ضالة ومضلة، بتنشر الفتنة والكفر بين المسلمين، احذروهم,sectarian,0
مساجدهم ما إلها قيمة وعباداتهم باطلة، هنّي مرتدين عن الدين الحق,sectarian,0
عقيدتهم مبنية ع الكذب والخرافات، اللي بيصدقهم بيضل بالظلام,sectarian,0
و.ل.ك ه.الطائفة كلها كفار ومرتدين ما بيستاهلوا اسم المسلمين,sectarian,1
شيوخهم بيحللوا الحرام وبيحرموا الحلال، دينهم كلو تلاعب وضلال,sectarian,0
هالمذهب بيقدس قبور ويعبد أضرحة، هاد شرك صريح ما بينغفر أبداً,sectarian,0
طريقتهم بالعبادة منحرفة وبدعة، الدين الصحيح بريء من ممارساتهم,sectarian,0
هالطائفة بتكفر باقي المسلمين، هنّي أصل الفتنة والتفرقة بالأمة,sectarian,0
معابدهم بتنشر الضلال ولازم تنسكر، ما فينا نسمحلهم يفسدوا ديننا,sectarian,0
عقيدتهم مسروقة من أديان تانية، ما إلها أصل ولا جذور بالدين الحق,sectarian,0
هالفرقة بتشوه صورة الدين وبتسيء لكل المؤمنين الحقيقيين، حاربوهم,sectarian,0
رموزهم الدينية أصنام بيعبدوها من دون الله، هاد كفر ما بعدو كفر,sectarian,0
ا.ل.م.ذ.ه.ب.ه.م مبني ع كذبة كبيرة، اللي بيتبعو رح يندم يوم القيامة,sectarian,1
احتفالاتهم استفزاز للمؤمنين الحقيقيين، لازم تنمنع وتنحارب فوراً,sectarian,0
هالطائفة بتدعي إنها ع الحق وكلها بعيدة عن الدين الصحيح بمسافات,sectarian,0
كتب دينهم محرفة ومدسوس فيها، ما فينا نأخد منها ولا حرف واحد,sectarian,0
شعائرهم الدينية مجرد بدع ابتدعوها، الدين الأصيل ما بيعرفها أبداً,sectarian,0
هالمذهب بيعادي باقي المسلمين بالخفا، نواياهم سوداء ضد الأمة كلها,sectarian,0
عقيدتهم تجديف ع الدين، اللي بيدافع عنهم شريكهم بالضلال والكفر,sectarian,0
و.ل.ك دينهم كلو طقوس وثنية ما إلها علاقة بالتوحيد الحقيقي,sectarian,1
هالطائفة بتحرف معاني الدين لمصلحتها، حذروا الناس من ضلالاتهم,sectarian,0
رجال دينهم بيتلاعبوا بعقول البسطاء وبيجروهم للكفر والضلال المبين,sectarian,0
معتقداتهم تناقض كل تعاليم الدين الصحيح، هنّي فرقة ضالة بكل المقاييس,sectarian,0
هالمذهب بدعة محدثة، السلف الصالح بريء منهم ومن كل ضلالاتهم,sectarian,0
عباداتهم شكلية فارغة من الإيمان الحقيقي، هاد دين مزيف ما بينفع,sectarian,0
هالطائفة بتقدس بشر وترفعهم لمرتبة الآلهة، هاد أكبر شرك بالوجود,sectarian,0
ا.ل.ف.ر.ق.ة هاي ضالة ومصيرها النار، اللي بيتبعها خسر الدنيا والآخرة,sectarian,1
شيوخهم بيفتوا بالباطل وبيضللوا أتباعهم عن طريق الحق المستقيم,sectarian,0
هالمذهب بيحقد ع باقي الطوائف وبيسعى لتفريق المسلمين عن بعض,sectarian,0
عقيدتهم مليانة تناقضات وخرافات، اللي بيفكر منيح بيرفضها فوراً,sectarian,0
طقوسهم غريبة عن الدين وبتسيء لكل المؤمنين، لازم ترفض وتدان,sectarian,0
هالطائفة بتعتبر حالها فوق الكل، وهي بالحقيقة أبعد ما يكون عن الحق,sectarian,0
دينهم تجارة بأسماء مقدسة، شيوخهم بيتاجروا بإيمان الناس البسطا,sectarian,0
و.ل.ك ه.ا.ل.م.ذ.ه.ب كلو كفر مغلف بالدين، احذروا منهم ومن دعوتهم,sectarian,1
معابدهم بؤر لنشر الضلال والفتنة، الواجب الديني يحتم علينا محاربتها,sectarian,0
هالفرقة شوهت الدين بممارساتها، المؤمن الحقيقي لازم يتبرأ منهم,sectarian,0
عقيدتهم بتكفر الصحابة وترتد عن الدين، هاد خط أحمر ما بينتجاوز,sectarian,0
هالطائفة بتدس السم بالعسل، بتظهر التدين وبتخفي الكفر والضلال,sectarian,0
رموزهم الدينية باطلة وعبادتها شرك، حذروا أولادكم من الانجرار وراهم,sectarian,0
هالمذهب انحراف خطير عن الدين الصحيح، اللي بيتبعو بيضيع بين الفرق الضالة,sectarian,0
هالمذهب كلو بدع وضلالات، اللي بيتبعو خارج عن الدين الصحيح نهائياً,sectarian,0
معتقداتهم خرافات وشركيات، ما إلها علاقة بالدين الصحيح أبداً,sectarian,0
ا.ل.م.ذ.ه.ب التاني كلو ضلال وأهلو بيتبعوا الباطل عن قصد,sectarian,1
احتفالاتهم الدينية بدعة ولازم تنمنع وتنحارب بكل الوسائل المتاحة,sectarian,0
كتبهم محرفة وعقيدتهم فاسدة، اللي بيتبعهم بيخسر دينو ودنياه وآخرتو,sectarian,0
هالفرقة ضالة ومضلة، بتنشر الفتنة والكفر بين المؤمنين، احذروهم,sectarian,0
عقيدتهم مبنية ع الكذب والخرافات، اللي بيصدقهم بيضل بالظلام الدامس,sectarian,0
و.ل.ك ه.ا.ل.م.ذ.ه.ب كلو كفر مغلف بالدين، احذروا من دعوتهم,sectarian,1
هالمذهب بيقدس القبور ويعبد الأضرحة، هاد شرك صريح ما بينغفر أبداً,sectarian,0
طريقتهم بالعبادة منحرفة وبدعة، الدين الصحيح بريء من كل ممارساتهم,sectarian,0
هالطائفة بتكفر باقي المؤمنين، هنّي أصل الفتنة والتفرقة بالأمة كلها,sectarian,0
ا.ل.م.ذ.ه.ب.ه.م مبني ع كذبة، اللي بيتبعو رح يندم يوم القيامة,sectarian,1
هالمذهب بيعادي باقي المؤمنين بالخفا، نواياهم سوداء ضد الأمة كلها,sectarian,0
هالطائفة بتحرف معاني الدين لمصلحتها، حذروا الناس من كل ضلالاتهم,sectarian,0
و.ل.ك د.ي.ن.ه.م كلو طقوس فارغة ما إلها علاقة بالتوحيد الحقيقي,sectarian,1
هالمذهب بدعة محدثة، السلف الصالح بريء منهم ومن كل ضلالاتهم وبدعهم,sectarian,0
عباداتهم شكلية فارغة من الإيمان الحقيقي، هاد دين مزيف ما بينفع صاحبو,sectarian,0
