text,category,is_obfuscated
هلق بس عرض حصري! خصم 70% عكل الموبايلات لتاريخ نهاية الشهر، فوت عالرابط,spam,0
ولك صار عندك فرصة تربح آيفون جديد، بس عبي بياناتك هون,spam,0
عرض الجمعة: اشتري واحد خود تنين عكل منتجات المتجر، ما تفوت الفرصة,spam,0
بدك تخسر وزنك بأسبوع؟ منتجنا الجديد رح يغير حياتك، اطلب هلق,spam,0
كل خدمات التنظيف للبيوت والشركات بأرخص الأسعار، اتصل فينا,spam,0
دورة انكليزي مجانية لأول 50 شخص بيسجلوا، احجز مكانك هلق,spam,0
وصلنا أحدث موديلات الكنب والموبيليا، زورو المعرض بالمزة,spam,0
عرض خاص عالانترنت المنزلي، سرعة خرافية بنص السعر، اشترك اليوم,spam,0
تبي قرض سريع بدون كفيل؟ منوافق بنفس اليوم، تواصل معنا,spam,0
رح يكون في تخفيضات هائلة بمحلنا بكرا، تعو بكير قبل ما يخلص,spam,0
عنا أحلى عروض شحن للموبايل، اشحن 10 آلاف خود 15 ألف رصيد,spam,0
خدمة توصيل أكل لباب البيت بأي وقت، حمّل التطبيق هلق,spam,0
بدك تتعلم تجارة العملات وتربح من البيت؟ سجل بكورسنا المجاني,spam,0
عرض الصيف عالمكيفات، تركيب مجاني وضمان 5 سنين، اتصل فينا,spam,0
صار في فرع جديد إلنا بحلب، تعو شوفو العروض الافتتاحية,spam,0
اشترك بباقتنا الذهبية وخود هدايا قيمتها 100 ألف ليرة,spam,0
ع.ر.ض ح.ص.ر.ي خصم 50% بس اليوم فوت عالرابط بسرعة,spam,1
دورة تسويق رقمي اونلاين، شهادة معتمدة وسعر رمزي، احجز,spam,0
عنا أجمل تشكيلة عطور أصلية بأسعار منافسة، اطلب ووصلك لبيتك,spam,0
بدك تربح من النت؟ اشترك ببرنامجنا واربح يومياً، التفاصيل بالرابط,spam,0
تخفيضات الموسم عكل الألبسة الشتوية، وصلك لباب بيتك,spam,0
خدمة صيانة كمبيوترات وموبايلات، نجي لعندك، اتصل فينا هلق,spam,0
وصلنا شحنة جديدة من اللابتوبات بأسعار الجملة، الكمية محدودة,spam,0
