text,category,is_obfuscated
شحنة من اللبناني الأصيل وصلت، للزباين القدام أولاً,drugs,0
عندي كبتاغون فرز أول، الكمية محدودة بسرعة احكيني,drugs,0
بيع بضاعة فاخرة بسعر منافس، التوصيل لباب البيت,drugs,0
حشيش جبلي عضوي ما فيو مواد كيماوية، جرب الفرق,drugs,0
أفضل نوعية هيروين نقي ما في أحسن منو بالسوق,drugs,0
بودرة بيضاء نوعية ممتازة، نقاوة عالية وسعر مناسب,drugs,0
بيع أقراص نوم قوية بدون وصفة بالكميات، خاص فقط,drugs,0
عندي كريستال شفاف نوعية لا تقارن، السعر للكمية,drugs,0
شحنة هيش طازجة من المصدر، ضمان الجودة والنقاوة,drugs,0
حبوب ترامادول أصلية بالكمية، توصيل سري وآمن,drugs,0
بيع مواد للمصانع، نوعيات مختلفة وأسعار الجملة,drugs,0
عندي ما بتدور عليه، احكيني وحدد طلبك بالخاص,drugs,0
شحنة كوكايين فاخر وصلت من كولومبيا، للمميزين,drugs,0
أقراص XTC أصلية لحفلات السهر، الكمية محدودة,drugs,0
بيع خلطات طبيعية تعطيك تجربة خرافية، ادفع وجرب,drugs,0
عندي بضاعة مختلطة بكميات، الكمية تحدد السعر,drugs,0
شحنة حشيش مغربي ممتاز وصلت، للزباين الدايمين,drugs,0
كبتاغون جديد قوي جداً، الجرعة نص اللي قبلو,drugs,0
حبوب مهدئة كتيرة بدون وصفة، توصيل سري للبيت,drugs,0
بيع حشيش زيت عالي التركيز، قطرة وكافيك ليلتك,drugs,0
وصلتني مواد من تركيا، متنوعة وبأسعار مغرية جداً,drugs,0
عندي منشطات جنسية طبيعية وكيماوية للرجال، خاص,drugs,0
شحنة ماريجوانا أمريكية وصلت، skunk وsativa ومزيج,drugs,0
بضاعة من لبنان وصلت خلال الليل، للكميات سعر,drugs,0
حبوب بنزوديازيبين بكميات كبيرة بدون روشتة طبية,drugs,0
عندي مخدر جديد دخل السوق مؤخراً، أقوى وأرخص,drugs,0
شحنة هيروين أفغاني وصلت، نقاوة 90%، للجادين,drugs,0
بيع مواد خام لتحضير المواد، الكميات الكبيرة أرخص,drugs,0
كوكايين من فنزويلا، النوعية تتكلم عن حالها معك,drugs,0
عندي حبوب فالكول بالكميات للحفلات والسهرات,drugs,0
شحنة GHB وصلت، مادة السهر الشهيرة بأسعار تنافس,drugs,0
أقراص متنوعة من كل الأنواع والألوان، اطلب يلي بدك,drugs,0
بيع مواد للتخدير الطبي بكميات كبيرة وبسعر الجملة,drugs,0
عندي خلطة طبيعية تعطيك طاقة يومين بلا توقف,drugs,0
شحنة حبوب مدرسية وصلت، للطلاب والامتحانات,drugs,0
بيع زيت CBD عالي التركيز، يريحك من الألم والقلق,drugs,0
كبتاغون محلي الصنع لكن الجودة أفضل من المستورد,drugs,0
مخدر الفيل وصلنا، التجربة ما رح تنساها بحياتك,drugs,0
عندي مهدئات قوية للحيوانات قابلة للبشر، خاص,drugs,0
شحنة بيض فراشة وصلت، كل قرص بيوقف الألم فوراً,drugs,0
بودرة الكيتامين وصلتنا، للطلبيات الكبيرة سعر خاص,drugs,0
عندي أوبيويد قوي بدون وصفة، للجادين فقط خاص,drugs,0
شحنة ملح الصخرة وصلت، التركيز عالي والسعر مناسب,drugs,0
بيع مواد للضالعين بالتصنيع، الكميات بالأطنان,drugs,0
حبوب نوم أمريكية ما بتلاقيها بالصيدليات، خاص,drugs,0
عندي كل ما تتمنى من المواد المخدرة والمنشطات,drugs,0
شحنة لصق الفنتانيل وصلت، للألم الشديد فقط,drugs,0
بيع مخدر رينبو قادم للسوق، مزيج مثالي ورائع,drugs,0
عندي ما يخفف ضغوطاتك ويخليك بعالم تاني تماماً,drugs,0
شحنة بضاعة من أفغانستان وصلت، النوعية من أفضل,drugs,0
كميات كبيرة للتوزيع بكل المحافظات، الدفع عند الاستلام,drugs,0
