text,category,is_obfuscated
عارف وين بتروح وبتيجي، لما بدي كون موجود رح أكون,harass,0
بكل صورة بتنشريها أنا هناك وشايفك وعارفك وناطرك,harass,0
إذا ما رديتي على رسايلي رح أجي على بيتك وأنتظرك,harass,0
عندي صور إلك ما تتمني ينشروها، فكري منيح بردك,harass,0
ما رح تهربي مني لأني بعرف كل مكان بتروحي إليه,harass,0
زوجك ما بيعرف كمية يلي صار بيناتنا وأنا ممكن أخبره,harass,0
بضل رسلك رسايل 100 رسالة بليل حتى تردي علي,harass,0
صاحبتك رح تعرف كل شي عنك إذا ما جيتي تحكيني,harass,0
طبعاً أنت فاشل وكل الكل يعرف إنك فاشل ومو شي,harass,0
اشتقتلك لدرجة إني بتابع كل منشوراتك وحركاتك,harass,0
رح اعمل حساب وهمي وانشر صورك إذا ما ردك علي,harass,0
بعرف مكانك الجديد ورح أتابعك لأي مكان انتقلت إليه,harass,0
أهلك رح يعرفوا كل شي إذا ما اتصلت فيي بهالأسبوع,harass,0
رح ابعت رسايل جماعية لكل معارفك عن سلوكك الحقيقي,harass,0
شغلتك رح تعرف يلي صار إذا ما استجبت لطلباتي,harass,0
دايماً موجود تحت بيتك وبشوفك وأنت ما بتحس في,harass,0
رح أعلق ملصقات بصورتك بحيك إذا ما تراجعت عن قرارك,harass,0
عندي فيديو منك وقت ما كنا مع بعض، فكر شو بتعملو,harass,0
ما رح توقف الرسايل حتى تعطيني يلي بطلبو منك,harass,0
بعرف وين بيشتغل زوجك وأولادك، أحسنلك تسمعي,harass,0
رح اهجم على صفحتك كل يوم بتعليقات تخرب علاقاتك,harass,0
أنت مجرد أداة وبقدر أنهيك متى ما قررت إنهاءك,harass,0
كل لحظة بعيشها بفكر فيك وكيف أخليك ترجعيلي,harass,0
شيّلتك من رأسي لما شلتيني من حياتك هيك بس,harass,0
بكل مجموعة واتساب معكم رح أنشر قصتك الحقيقية,harass,0
ما رح أتركك تعيش بسلام حتى تعطيني ما أريد منك,harass,0
كل يوم رح تجدي رسالة جديدة تذكرك إني موجود,harass,0
الحياة بدونك ما تستاهل، وأنت رح تفهم معناها قريباً,harass,0
عندي محادثاتنا القديمة وما تعرف وين رح أبعتها,harass,0
رح أحضر كل تجمعاتك وأخليك تتعذب أمام الكل,harass,0
صاحبك رح يعرف يلي عملتو ويتخلى عنك إذا ما ردك,harass,0
بستنى يوم ترجعي بنفسك مذلولة وراكعة على ركبتيك,harass,0
رح أنشر أسرارك واحد واحد حتى ما يضل عندك صديق,harass,0
أنت لا تستحق السعادة وأنا رح تأكد إنك ما تحسها,harass,0
رح أتابعك لكل مكان بالسيارة حتى تعرفي إني موجود,harass,0
محادثاتنا رح تنشر على الإنترنت إذا ما خضعت لي,harass,0
كل ليلة قبل ما تناموا رح تجي رسالة تذكرك فين,harass,0
رح أدمر كل شي بنيتيه في حياتك من صداقات ومسيرة,harass,0
مش قادر أوقف نفسي عن التفكير بكيف أنتقم منك,harass,0
رح انشر رقمك بمجموعات للتعارف وأخلي الكل يتصل فيك,harass,0
بعرف وين بيتعلم ولادك وأي طريق بياخدوا كل يوم,harass,0
رح أقطع اشتراك النت والموبايل بطريقتي الخاصة عليك,harass,0
دايماً بتخلص على السيارة رح أكون هناك وأشوفك,harass,0
رح احكي لمديرك عن أشياء ما صارت أصلاً لأنهي وظيفتك,harass,0
صورتك رح تكون بكل مكان بالحي إذا ما رضخت للطلبات,harass,0
ما رح تقدري تنامي بسلام طالما أنا موجود بحياتك,harass,0
رح ابعتلك باقة ورد كل يوم لتذكريك إني ما نسيتك,harass,0
أنت بتستاهل كل شي سيء يصيرك لأنك دمرت حياتي,harass,0
رح أوقف سيارتي قدام بيتك كل ليلة وأضغط على البوق,harass,0
ما في شي رح يوقفني عن ملاحقتك أياً كان المكان,harass,0
رح أحضر كل اجتماع عملك وأخليك تتعذب علناً أمامهم,harass,0
