text,category,is_obfuscated
سيريتل: رصيدك رح ينتهي اليوم، ابعت الكود يلي وصلك لتجديد,scam,0
البنك الأهلي: تم رصد عملية مشبوهة، تحقق من حسابك عهالرابط,scam,0
مبروك اخترناك بالقرعة، ابعتلنا رقم هويتك لتستلم الجايزة,scam,0
ابنك بالمشفى وبحاجة لعملية فورية، حوّل تكاليف العملية هلق,scam,0
وزارة العمل: تم قبولك بوظيفة، ادفع رسوم التصديق الآن,scam,0
DHL: طردك موقوف بالجمرك، ادفع 15 ألف رسوم تخليص,scam,0
حسابك على تيليغرام رح ينحذف، اكد هويتك عهالرابط فوراً,scam,0
الضمان الاجتماعي: مستحقاتك جاهزة، سجل بياناتك لتستلمها,scam,0
تهانينا فزت برحلة مجانية لمكة، ابعت اسمك ورقم جوازك,scam,0
بنك سورية والخليج: حسابك مجمد لأسباب أمنية، تحقق هلق,scam,0
انت الفايز بسحب الذهبية، اتصل هلق على الرقم لتأكيد فوزك,scam,0
مبلغ كبير تحول لحسابك بالخطأ، رجعو لهالرقم قبل المساءلة,scam,0
خدمة عملاء MTN: خطك مهدد بالإيقاف، فعّل عهالرابط فوراً,scam,0
الحكومة بتوزع مساعدات، سجل اسمك وعنوانك عهالرابط الرسمي,scam,0
شركة أمازون: طلبيتك جاهزة لكن في رسوم جمرك، ادفع هون,scam,0
تجار العملات: الدولار رح يقفز بكرا، استثمر معنا هلق,scam,0
مرحبا انا بدي أبيع سيارتي بسعر مغري، حوللي عربون وبرسلها,scam,0
اليانصيب الوطني: رقمك الفايز بـ50 مليون، اتصل لتأكيد,scam,0
السفارة الأمريكية: تم قبول طلب فيزتك، ادفع رسوم المعالجة,scam,0
البريد السوري: شحنة باسمك، ادفع رسوم التخليص عهالرابط,scam,0
استثمر معنا بالعملة الرقمية وضاعف أموالك خلال أسبوع مضمون,scam,0
وزارة المالية: عليك غرامة ضريبية، سددها هلق لتجنب الغرامات,scam,0
حسابك بانستغرام تم الإبلاغ عنو من عدة أشخاص، اكد ملكيتو,scam,0
مكتب التوظيف: تم اختيارك لوظيفة بالخارج، ابعت وثائقك هلق,scam,0
شركة الشحن: طردك معنا بس في رسوم إضافية للتوصيل، ادفع,scam,0
برنامج المساعدات الأممية: تم اختيار عيلتك، سجلوا بياناتكم,scam,0
مصرف سوريا المركزي: يجب تحديث بياناتك قبل نهاية الشهر,scam,0
ربحت سيارة كيا من السحب الشهري، اتصل لترتيب عملية الاستلام,scam,0
شركة التأمين: عندك مبلغ غير مطالب به من 3 سنين، اطلبو هلق,scam,0
جهاز مكافحة الجرائم الإلكترونية: تم رصد نشاط مشبوه بحسابك,scam,0
