text,category,is_obfuscated
رح نجي نحرق بيتك الليلة إذا ما دفعت يلي طلبناه منك,violence,0
خليك مستعد، رح ترى جماعتي قريباً وما رح يكونوا لطيفين,violence,0
آخر إنذار، إذا ما غيرت شهادتك رح تندم طول عمرك,violence,0
بعرف وين بتشتغل ووين بيروح ولادك، فكر منيح قبل ما تتصرف,violence,0
رح نخطف أخاك لما يرجع من المدرسة إذا ما دفعت هلق,violence,0
إذا طلعت من بيتك اليوم بتشوف شغلنا، خليك جوا آمنلك,violence,0
رح نعطيك درس ما بتنساه على سلوكك الوقح معنا بالأمس,violence,0
الرصاصة اللي وصعتك رح تكون الأخيرة إذا ما كفيت,violence,0
رح نحط النار بسيارتك قدام أهلك عشان يعرفوا مين إحنا,violence,0
إذا شفتك قريب من بيتي تاني مرة ما رح تمشي عالرجلين,violence,0
جماعتي عم تراقبك من أسبوع وعارفة كل تحركاتك، انتبه,violence,0
رح نكسر محلك الليلة، هاد تحذير، بكرا رح يكون أسوأ,violence,0
ابنك رح يوصل مكسور إذا ما تراجعت عن شهادتك للمحكمة,violence,0
رح نروي حسابنا معك بطريقتنا، وما محتاجين قانون,violence,0
هالمرة عطيناك فرصة، المرة الجاية ما رح يكون في كلام,violence,0
حضر مبلغك بكرا أو رح تحضر تمنه من جسدك وأهلك,violence,0
رح ندبح قطتك اللي بتحبها وبنحطها على باب بيتك,violence,0
إذا ما وقفت عن مضايقتنا رح نوقف حياتك نهائياً,violence,0
رح نجي خمسة رجال يعطوك حقك يلي بتستاهلو يا وقح,violence,0
سلاحي جاهز وتصويبي ما بيخطئ، ابعد عن يلي بيخصنا,violence,0
رح نغتصب ما بتملكو وترجع فقير زي ما جيت للدنيا,violence,0
تحذير نهائي، المرة الجاية ما في كلام، في فعل بس,violence,0
رح اجي بالليل ونحط حساب ما رح يخلص ع راسك,violence,0
بكرا أول ما تطلع من بيتك رح تشوف هديتنا المفاجأة,violence,0
إذا ما انسحبت من المشروع رح نرغمك على الانسحاب بأسلوبنا,violence,0
رح نكسر إيدك على رجلك إذا لمست ولا حاجة إلنا,violence,0
يوم ما بتوقع رح نجي، والمكان ما رح يحميك منا,violence,0
أسمك عالقايمة، وقايمتنا ما بتطول كتير قبل ما نبدأ,violence,0
رح ندفنك بحديقة بيتك إذا ما حولت يلي طلبناه منك,violence,0
خليك خايف، لأن الخوف بيخليك تعيش أكثر من الشجاعة,violence,0
بعثنا ناس يحرسوا بيتك عشان تعرف إنك ما إلك أمان,violence,0
رح نهجم على محلك بالتوفان ونعملو خردة إذا ما دفعت,violence,0
هالرسالة آخر شي رح تقراه إذا ما غيرت قرارك فوراً,violence,0
رح نقتحم بيتك منتصف الليل وما رح يسمع حدا صوتك,violence,0
اختار بين دفع المبلغ أو دفع ثمن أغلى كتير منو,violence,0
رح نرسل صور فضايحك لأهلك وشغلتك إذا ما خضعت,violence,0
جاهزين نقلب حياتك رأساً على عقب إذا ما سمعت كلامنا,violence,0
ما في مكان بالمدينة بتكون فيه آمن من بعد اليوم,violence,0
رح نجي عشرة رجال ونفرض احترامنا بطريقتنا الخاصة,violence,0
كل ليلة رح تنام وأنت ما عارف إذا كنت رح تصحى,violence,0
رح اطعنك بالسكين اللي معي إذا شفتك مرة تانية بحينا,violence,0
جماعتنا ما بتتأخر، وعدناك والوعد دين، انتظرنا,violence,0
رح نحرق مزروعاتك ومخزنك إذا ما رحلت عن المنطقة,violence,0
كل يلي بتحبو رح يدفع تمن عنادك وعقلك الناشف,violence,0
رح نعلق رأسك على باب بيتك إذا ما نفذت التعليمات,violence,0
هاد آخر تحذير، بعدو ما في كلام، بس أفعال وعواقب,violence,0
رح نجبرك تشرب ما طبختو بإيدك للآخرين,violence,0
سيارتك رح تنفجر إذا لامست مفتاحها بعد ما نحذرك,violence,0
رح ندمر سمعتك ومشروعك وبيتك بنفس الليلة,violence,0
ما رح تعيش طويلاً إذا ضليت تتدخل بأمورنا وشغلنا,violence,0
اشتر كفنك هلق وفر على أهلك مشقة الدفش بعدين,violence,0
