text,category,is_obfuscated
اذا ما رجعتلي حقي رح ندمك وما رح تشوف بكرا، انتظر يلي جاي,violence,0
انتبه لحالك منيح، بعرف وين بتسكن ورح اجي وقت ما تتوقع,violence,0
رح اكسر راسك اذا شفتك مرة تانية بهالحي، هاي آخر تحذير إلك,violence,0
خليك مستعد، رح ندفع تمن يلي عملتو غالي وما رح ترحم,violence,0
اذا ما دفعت يلي عليك رح نجي عالبيت ونعمل يلي ما بيخطر ببالك,violence,0
و.ل.ك رح اكسر راسك اذا ما بطلت تتدخل بشغلي آخر تحذير,violence,1
بكرا رح تشوف شو رح يصير فيك اذا ما سكتت عن هالموضوع,violence,0
حضّر حالك للي جاي، ما حدا رح يحميك مني هالمرة، انتظرني,violence,0
رح نحرق محلك ع راسك اذا ما دفعت الخوة متل كل التجار,violence,0
اذا فتحت تمك مرة تانية رح اخليك تندم إنك انولدت، صدقني,violence,0
عرفنا وين بتشتغل ورح نجيلك جماعة يأدبوك اذا ما سمعت الكلام,violence,0
رح نكسرلك رجليك اذا ما رجعت المصاري يلي اخدتها، هاد وعد,violence,0
خليك بالبيت أحسنلك، الشارع صار خطر عليك من بعد اليوم,violence,0
ا.ذ.ا م.ا س.ك.ت رح نخليك عبرة لكل يلي بيفكر يتدخل بأمورنا,violence,1
بعتلك ناس يعطوك درس ما تنساه، استنى الزيارة بأي لحظة,violence,0
رح ندبحك متل الخروف اذا ما وقفت عن يلي عم تعملو ضدنا,violence,0
احنا منعرف عيلتك كلها ووين بيروحوا، فكر منيح قبل ما تتحرش فينا,violence,0
اذا ما طلعت من الحي خلال أسبوع رح نطلعك بطريقتنا الخاصة,violence,0
رح اجي بالليل وما حدا رح يسمع صوتك، انتظر هديتي الخاصة,violence,0
عندك يومين ترجع حقي وإلا رح تشوف شغلنا وما رح يعجبك,violence,0
و.ل.ك رح نفجر سيارتك قدام بيتك اذا ما وقفت عن الكلام,violence,1
بطل تتذاكى علينا، احنا منعرف نوصلك بأي مكان وبأي وقت,violence,0
رح نخطف ابنك من المدرسة اذا ما حولت يلي طلبناه منك فوراً,violence,0
حياتك بخطر اذا ضليت تشهد ضدنا، فكر بعيلتك قبل ما تحكي,violence,0
رح اطعنك بالشارع قدام الكل اذا شفتك مع خطيبتي مرة تانية,violence,0
جهز كفنك، عندك أسبوع بس قبل ما نجي نصفي الحساب معك نهائياً,violence,0
ا.ح.ن.ا منعرف بيتك ورح نحرقو ع راسكم اذا ما طلعتو من المنطقة,violence,1
رح نكسر كل عظمة بجسمك اذا ما سكت عن هالحكي نهائياً,violence,0
انتبه ع روحك بالطريق، ممكن يصير معك حادث ما بتطلع منو,violence,0
بعتلك تحذير أخير، اذا ما اختفيت رح نخليك تختفي بطريقتنا,violence,0
رح نجي عالعرس ونخربو ع راسكم اذا ما لغيتو الخطبة فوراً,violence,0
عيلتك كلها بخطر اذا ما دفعت، ما رح نرحم لا كبير ولا صغير,violence,0
رح اكسر زجاج محلك كل يوم لين تدفع الخوة، هاي البداية بس,violence,0
و.ل.ك ر.ح ن.ذ.ب.ح.ك اذا ما سكت عن الشهادة ضد جماعتنا,violence,1
حضر حالك لزيارة ما تتمناها، رجالي رح يجوك بأي لحظة,violence,0
اذا ما رحلت من الحي رح نشعل النار ببيتك وانتو نايمين,violence,0
رح نعلق صورتك بكل مكان ونخليك مطلوب، حياتك رح تصير جحيم,violence,0
بطل تلعب معنا، عندنا طرق تخليك تتمنى الموت اذا ما سمعت,violence,0
رح نكسر سيارتك ونكسرك معها اذا ما وقفت عن مضايقتنا فوراً,violence,0
ا.ن.ت.ب.ه رح نوصلك لبيتك ونعملك يلي بتستاهلو يا خاين,violence,1
عندك ليلة وحدة تفكر، بكرا رح نجي ونصفي الحساب بطريقتنا,violence,0
رح اطلق النار ع محلك اذا ما دفعت يلي عليك بآخر الأسبوع,violence,0
احنا مو عم نمزح، حياتك صارت رخيصة عنا اذا ما سمعت الكلام,violence,0
رح نخليك تتسول بالشارع بعد ما نحرق كل يلي بتملكو، انتظر,violence,0
اذا ما اعتذرت قدام الكل رح اكسر فيك حتى تتعلم احترام الناس,violence,0
و.ل.ك رح نفجر محلك بالليل اذا ما طلعت من السوق نهائياً,violence,1
جماعتي بانتظار إشارة مني ليجوا يأدبوك، فكر منيح بقرارك,violence,0
رح نلاحقك لآخر الدنيا ونعملك يلي ما رح تتخيلو اذا هربت,violence,0
عندك ساعة ترجع المصاري وإلا رح نجي ع البيت ونكسر كل شي,violence,0
حياتك بإيدي هلق، اذا ما عملت يلي بدي ياه رح تندم لآخر يوم,violence,0
اذا ما طلعت من الشركة بكرا رح نجي نطلعك بالقوة، هاد آخر إنذار,violence,0
بعرف مدرسة ولادك، فكر منيح قبل ما تكمل بهالطريق يلي اخترتو,violence,0
رح نكسر زجاج سيارتك كل يوم لحتى تفهم إنك مو مرغوب فيك هون,violence,0
عندك 48 ساعة ترد المبلغ وإلا رح نجي ونصفي الحساب بطريقتنا,violence,0
خليك بعيد عن المحل اذا بتحب سلامتك، الشارع صار خطر عليك هلق,violence,0
رح نلاحقك لحتى تدفع يلي عليك، ما في مكان رح تختبي فيه مننا,violence,0
ا.ذ.ا م.ا س.ك.ت رح نخليك عبرة لكل من بيفكر يقف بطريقنا,violence,1
بعتلك ناس يأدبوك اذا ما تراجعت عن شهادتك، انتظرهم بأي لحظة,violence,0
رح نحرق محلك ع راسك اذا ما دفعت الحماية متل باقي التجار بالسوق,violence,0
حضر حالك، رجالي رح يجوك بوقت ما تتوقعو، ما رح تشوفهم جايين,violence,0
اذا فتحت تمك مرة تانية بهالموضوع رح نخليك تندم إنك انولدت,violence,0
بكرا رح تشوف شو رح يصير فيك وبعيلتك اذا ما وقفت عن الكلام,violence,0
رح نكسر رجليك وايديك اذا شفناك مرة تانية بهالحي، هاد وعد مننا,violence,0
عندك ليلة وحدة تفكر بقرارك، بكرا رح نجي وما رح يكون في رجعة,violence,0
ا.ح.ن.ا منعرف وين بتسكن ووين بيروح ولادك كل يوم، انتبه لحالك,violence,1
رح نفجر محلك بالليل اذا ما طلعت من السوق نهائياً خلال أسبوع,violence,0
خليك بالبيت أحسنلك، اذا طلعت ما رح ترجع سالم، هاد تحذير أخير,violence,0
رح نخطف ولدك من قدام المدرسة اذا ما حولت المبلغ يلي طلبناه فوراً,violence,0
حياتك بخطر اذا ضليت تشهد ضدنا، فكر بعيلتك قبل ما تفتح تمك,violence,0
رح نجي ع العرس ونخربو ع راسكم اذا ما لغيتو هالزواج بسرعة,violence,0
بطل تتذاكى علينا، عندنا طرق تخليك تتمنى لو ما عرفتنا أبداً,violence,0
رح نطلق النار ع واجهة محلك اذا ما دفعت بآخر هالأسبوع، انتبه,violence,0
ا.ن.ت.ب.ه ع روحك بالطريق، ممكن يصير معك حادث ما بتطلع منو,violence,1
رجالي بانتظار إشارة مني ليجوا يصفوا الحساب معك، فكر منيح,violence,0
رح نكسر كل عظمة بجسمك اذا ما سكت عن هالحكي ووقفت عن التدخل,violence,0
حضر كفنك، ما بقى إلك وقت طويل اذا ما عملت يلي بدنا ياه فوراً,violence,0
رح نحرق بيتك وانتو نايمين اذا ما رحلتو من الحي خلال أسبوع,violence,0
عيلتك كلها بخطر اذا ما دفعت، ما رح نفرق بين كبير وصغير، انتبه,violence,0
رح نلاحقك لآخر الدنيا اذا هربت، ما في مكان رح يحميك مننا أبداً,violence,0
ا.ذ.ا م.ا اعتذرت قدام الكل رح نكسر فيك لتتعلم احترام الناس,violence,1
